index,Equity(1 [XLK]),Equity(2 [XLF]),Equity(3 [XLE]),Equity(4 [XLB]),Equity(5 [XLY]),Equity(6 [XLP]),cash
2011-11-30 00:00:00+00:00,1281.0,0.0,0.0,0.0,1937.0,1595.0,6204.6
2011-12-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1592.5,9420.6
2011-12-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1587.0,9420.6
2011-12-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1596.5,9420.6
2011-12-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1598.45,9420.6
2011-12-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1602.45,9420.6
2011-12-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1584.0,9420.6
2011-12-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1600.45,9420.6
2011-12-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1585.95,9420.6
2011-12-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1582.5,9420.6
2011-12-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1574.5,9420.6
2011-12-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1590.45,9420.6
2011-12-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1574.5,9420.6
2011-12-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1568.0,9420.6
2011-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1600.45,9420.6
2011-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1617.45,9420.6
2011-12-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1617.0,9420.6
2011-12-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1628.5,9420.6
2011-12-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1631.5,9420.6
2011-12-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1623.5,9420.6
