,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
2016-05-02 20:00:00+00:00,50,,2016-05-02 20:00:00+00:00,b3730982eb23401e816f28c9449d4b7f,67.5,Equity(3 [XLE]),Equity(3 [XLE]),-3375.0
2016-06-01 20:00:00+00:00,50,,2016-06-01 20:00:00+00:00,f1ba8d7c846e41279f30fc86c925a6fa,44.189,Equity(1 [XLK]),Equity(1 [XLK]),-2209.45
2016-07-01 20:00:00+00:00,-50,,2016-07-01 20:00:00+00:00,14d62935b89e419ea23e2b76988e1a93,22.86,Equity(2 [XLF]),Equity(2 [XLF]),1143.0
2016-08-01 20:00:00+00:00,50,,2016-08-01 20:00:00+00:00,34de64c5f5a14f87bd857a7a74f00c3e,23.65,Equity(2 [XLF]),Equity(2 [XLF]),-1182.5
2016-10-03 20:00:00+00:00,-50,,2016-10-03 20:00:00+00:00,776d8d33db8345feb9c501dcd290e777,19.299,Equity(2 [XLF]),Equity(2 [XLF]),964.95
2016-11-01 20:00:00+00:00,-50,,2016-11-01 20:00:00+00:00,a1ae289aa785409693db55e545c34139,78.099,Equity(5 [XLY]),Equity(5 [XLY]),3904.95
2016-11-01 20:00:00+00:00,-50,,2016-11-01 20:00:00+00:00,a0b83763958d4db6909256f51177a810,52.799,Equity(6 [XLP]),Equity(6 [XLP]),2639.95
2016-12-01 21:00:00+00:00,50,,2016-12-01 21:00:00+00:00,1437ce1a26d7411ba75d0d858b53bacf,22.51,Equity(2 [XLF]),Equity(2 [XLF]),-1125.5
2016-12-01 21:00:00+00:00,50,,2016-12-01 21:00:00+00:00,1e48557799b040ae9fe6fda7294383a5,81.849,Equity(5 [XLY]),Equity(5 [XLY]),-4092.45
2017-03-01 21:00:00+00:00,50,,2017-03-01 21:00:00+00:00,ca9b5d498e1d47d79d2c2bd409d80b64,55.099,Equity(6 [XLP]),Equity(6 [XLP]),-2754.95
2017-04-03 20:00:00+00:00,-50,,2017-04-03 20:00:00+00:00,47ac009c71da4330b2f679f03f487977,69.9,Equity(3 [XLE]),Equity(3 [XLE]),3495.0
